Date,Environmental Temperature (°C),Relative Humidity (%),Hive Temperature (°C),Hive Humidity (%),Wind Speed (km/h),Honey Weight (kg),Total Weight (Hive + Bees + Honey) (kg),Extract Honey,Year
"July 3, 2024",18.4,74.28,20.51,80.32,5.63,24.51,49.51,False,Non-Ideal Conditions
"July 4, 2024",24.09,67.61,24.23,85.54,7.76,24.86,49.86,False,Non-Ideal Conditions
"July 5, 2024",30.23,70.92,20.95,83.89,9.34,25.15,50.15,False,Non-Ideal Conditions
"July 6, 2024",25.77,84.88,22.59,90.88,4.92,25.49,50.49,False,Non-Ideal Conditions
"July 7, 2024",23.62,79.57,20.18,80.69,2.84,25.79,50.79,False,Non-Ideal Conditions
"July 8, 2024",19.1,86.92,21.29,98.91,0.34,26.04,51.04,False,Non-Ideal Conditions
"July 9, 2024",27.97,78.81,22.63,89.51,2.22,26.19,51.19,False,Non-Ideal Conditions
"July 10, 2024",21.05,67.91,20.74,83.63,3.22,26.52,51.52,False,Non-Ideal Conditions
"July 11, 2024",21.43,74.38,23.59,89.17,1.92,26.77,51.77,False,Non-Ideal Conditions
"July 12, 2024",30.18,65.24,22.88,81.43,4.27,27.07,52.07,False,Non-Ideal Conditions
"July 13, 2024",23.64,86.08,20.35,87.85,5.57,27.25,52.25,False,Non-Ideal Conditions
"July 14, 2024",20.74,84.56,24.04,95.85,3.72,27.44,52.44,False,Non-Ideal Conditions
"July 15, 2024",25.75,76.72,21.68,95.92,4.13,27.87,52.87,False,Non-Ideal Conditions
"July 16, 2024",19.52,79.0,24.41,80.8,5.98,28.19,53.19,False,Non-Ideal Conditions
"July 17, 2024",24.34,74.31,20.68,82.01,2.04,28.62,53.62,False,Non-Ideal Conditions
"July 18, 2024",20.44,81.11,21.06,86.9,0.15,28.83,53.83,False,Non-Ideal Conditions
"July 19, 2024",29.7,83.26,20.6,85.83,0.93,29.08,54.08,False,Non-Ideal Conditions
"July 20, 2024",21.44,88.27,22.89,97.45,4.03,29.34,54.34,False,Non-Ideal Conditions
"July 21, 2024",18.63,74.5,24.43,83.46,6.9,29.79,54.79,False,Non-Ideal Conditions
"July 22, 2024",18.13,76.3,21.58,94.55,4.69,30.01,55.01,False,Non-Ideal Conditions
"July 23, 2024",21.79,79.63,21.83,89.31,3.52,30.41,55.41,False,Non-Ideal Conditions
"July 24, 2024",30.05,77.27,20.67,96.66,4.49,30.69,55.69,False,Non-Ideal Conditions
"July 25, 2024",26.41,73.84,24.78,83.07,3.09,30.88,55.88,False,Non-Ideal Conditions
"July 26, 2024",21.49,66.7,21.77,82.82,2.19,31.18,56.18,False,Non-Ideal Conditions
"July 27, 2024",23.71,79.88,20.12,96.96,0.35,31.38,56.38,False,Non-Ideal Conditions
"July 28, 2024",27.28,89.61,22.2,99.53,9.85,31.71,56.71,False,Non-Ideal Conditions
"July 29, 2024",20.38,80.85,24.37,81.97,1.25,31.92,56.92,False,Non-Ideal Conditions
"July 30, 2024",19.86,67.24,21.48,91.06,6.8,32.31,57.31,False,Non-Ideal Conditions
"July 31, 2024",22.11,85.36,23.95,88.15,7.19,32.55,57.55,False,Non-Ideal Conditions
"August 1, 2024",28.02,70.36,21.36,83.85,6.38,32.99,57.99,False,Non-Ideal Conditions
"August 2, 2024",22.73,81.1,20.27,94.58,5.45,33.26,58.26,False,Non-Ideal Conditions
"August 3, 2024",18.1,89.93,22.52,83.94,0.51,33.66,58.66,False,Non-Ideal Conditions
"August 4, 2024",25.63,82.5,23.86,87.12,1.38,34.04,59.04,False,Non-Ideal Conditions
"August 5, 2024",27.93,82.98,23.54,93.68,6.74,34.25,59.25,False,Non-Ideal Conditions
"August 6, 2024",30.44,69.1,23.49,92.31,6.16,34.54,59.54,False,Non-Ideal Conditions
"August 7, 2024",20.64,69.82,23.27,95.42,4.39,34.91,59.91,False,Non-Ideal Conditions
"August 8, 2024",25.86,69.48,22.27,92.62,1.87,35.07,60.07,False,Non-Ideal Conditions
"August 9, 2024",21.44,77.73,21.01,83.55,1.93,35.25,60.25,False,Non-Ideal Conditions
"August 10, 2024",19.23,76.42,21.8,96.52,8.19,35.66,60.66,False,Non-Ideal Conditions
"August 11, 2024",23.84,72.58,24.5,90.29,7.11,35.82,60.82,False,Non-Ideal Conditions
"August 12, 2024",20.69,67.79,23.22,89.65,6.71,36.0,61.0,False,Non-Ideal Conditions
"August 13, 2024",24.63,73.14,23.76,99.4,3.12,36.29,61.29,False,Non-Ideal Conditions
"August 14, 2024",25.97,66.76,22.26,84.08,2.32,36.44,61.44,False,Non-Ideal Conditions
"August 15, 2024",30.75,71.32,20.83,84.25,8.56,36.7,61.7,False,Non-Ideal Conditions
"August 16, 2024",30.42,72.78,22.22,84.6,7.8,37.0,62.0,False,Non-Ideal Conditions
"August 17, 2024",19.69,86.35,23.44,93.43,8.56,37.36,62.36,False,Non-Ideal Conditions
"August 18, 2024",29.51,83.06,21.12,87.83,5.42,37.78,62.78,False,Non-Ideal Conditions
"August 19, 2024",25.24,67.19,23.04,93.05,6.39,38.03,63.03,False,Non-Ideal Conditions
"August 20, 2024",20.8,80.86,20.93,83.0,2.57,38.47,63.47,False,Non-Ideal Conditions
"August 21, 2024",28.68,82.23,21.39,87.13,4.87,38.64,63.64,False,Non-Ideal Conditions
"August 22, 2024",22.11,68.72,23.35,85.68,5.57,38.8,63.8,False,Non-Ideal Conditions
"August 23, 2024",18.03,67.31,24.43,92.89,2.63,39.11,64.11,False,Non-Ideal Conditions
"August 24, 2024",23.98,79.86,24.9,94.32,7.7,39.56,64.56,False,Non-Ideal Conditions
"August 25, 2024",30.14,66.4,24.8,99.77,8.32,39.75,64.75,False,Non-Ideal Conditions
"August 26, 2024",20.83,76.14,24.26,90.8,2.4,40.1,65.1,False,Non-Ideal Conditions
"August 27, 2024",23.05,87.2,22.56,82.95,5.59,40.45,65.45,False,Non-Ideal Conditions
"August 28, 2024",28.99,83.33,24.59,97.6,8.54,40.63,65.63,False,Non-Ideal Conditions
"August 29, 2024",25.79,77.96,21.33,89.89,5.07,40.84,65.84,False,Non-Ideal Conditions
"August 30, 2024",25.93,83.64,20.45,98.58,10.0,41.12,66.12,False,Non-Ideal Conditions
"August 31, 2024",31.0,76.36,22.79,90.2,9.48,5.0,66.44,True,Non-Ideal Conditions
"September 1, 2024",27.62,84.75,24.68,84.03,3.19,5.04,30.04,False,Non-Ideal Conditions
"September 2, 2024",27.19,72.38,21.48,94.36,8.0,5.08,30.08,False,Non-Ideal Conditions
"September 3, 2024",21.95,65.01,24.18,89.59,4.0,5.17,30.17,False,Non-Ideal Conditions
"September 4, 2024",21.8,77.38,23.53,91.9,1.6,5.2,30.2,False,Non-Ideal Conditions
"September 5, 2024",20.01,87.1,22.31,91.45,0.99,5.24,30.24,False,Non-Ideal Conditions
"September 6, 2024",18.5,85.07,22.34,93.7,2.82,5.31,30.31,False,Non-Ideal Conditions
"September 7, 2024",22.48,85.83,23.26,98.88,7.29,5.4,30.4,False,Non-Ideal Conditions
"September 8, 2024",18.01,85.53,22.41,92.72,8.33,5.44,30.44,False,Non-Ideal Conditions
"September 9, 2024",21.48,78.31,22.02,91.29,2.36,5.51,30.51,False,Non-Ideal Conditions
"September 10, 2024",19.77,86.91,23.3,83.31,6.63,5.59,30.59,False,Non-Ideal Conditions
"September 11, 2024",21.93,82.02,24.66,86.92,9.71,5.66,30.66,False,Non-Ideal Conditions
"September 12, 2024",27.12,65.17,21.12,82.13,6.44,5.7,30.7,False,Non-Ideal Conditions
"September 13, 2024",28.94,66.84,22.98,84.86,4.52,5.75,30.75,False,Non-Ideal Conditions
"September 14, 2024",24.3,81.46,21.1,89.55,8.31,5.82,30.82,False,Non-Ideal Conditions
"September 15, 2024",18.44,72.32,21.95,81.66,6.92,5.9,30.9,False,Non-Ideal Conditions
"September 16, 2024",21.27,87.56,22.7,82.29,1.28,5.99,30.99,False,Non-Ideal Conditions
"September 17, 2024",23.47,68.79,21.98,94.02,6.85,6.06,31.06,False,Non-Ideal Conditions
"September 18, 2024",25.49,70.57,23.22,97.92,5.93,6.09,31.09,False,Non-Ideal Conditions
"September 19, 2024",19.04,81.03,22.22,99.18,3.64,6.15,31.15,False,Non-Ideal Conditions
"September 20, 2024",20.61,73.1,20.84,87.35,0.36,6.19,31.19,False,Non-Ideal Conditions
"September 21, 2024",27.55,79.48,22.72,86.89,4.89,6.26,31.26,False,Non-Ideal Conditions
"September 22, 2024",22.53,73.26,22.15,96.25,9.57,6.32,31.32,False,Non-Ideal Conditions
"September 23, 2024",25.06,83.77,20.83,94.89,4.12,6.37,31.37,False,Non-Ideal Conditions
"September 24, 2024",19.41,68.74,22.33,84.99,5.84,6.42,31.42,False,Non-Ideal Conditions
"September 25, 2024",19.19,72.02,24.96,93.05,9.04,6.5,31.5,False,Non-Ideal Conditions
"September 26, 2024",28.57,65.64,23.98,81.71,0.39,6.58,31.58,False,Non-Ideal Conditions
"September 27, 2024",18.29,80.15,22.31,85.66,2.4,6.64,31.64,False,Non-Ideal Conditions
"September 28, 2024",18.82,74.34,23.84,92.11,1.53,6.68,31.68,False,Non-Ideal Conditions
"September 29, 2024",27.62,66.58,20.41,82.57,0.18,6.72,31.72,False,Non-Ideal Conditions
"September 30, 2024",19.29,72.56,21.78,86.8,4.51,6.77,31.77,False,Non-Ideal Conditions
"October 1, 2024",19.14,67.32,22.99,98.1,8.02,6.85,31.85,False,Non-Ideal Conditions
"October 2, 2024",20.12,84.81,23.59,84.37,7.85,6.93,31.93,False,Non-Ideal Conditions
"October 3, 2024",21.31,78.22,20.32,81.93,3.59,6.97,31.97,False,Non-Ideal Conditions
"October 4, 2024",27.02,74.76,23.33,90.85,8.23,7.0,32.0,False,Non-Ideal Conditions
"October 5, 2024",20.42,84.22,20.19,82.47,5.97,7.08,32.08,False,Non-Ideal Conditions
"October 6, 2024",24.59,89.95,21.16,91.24,2.78,7.14,32.14,False,Non-Ideal Conditions
"October 7, 2024",24.49,82.85,22.61,81.85,9.52,7.19,32.19,False,Non-Ideal Conditions
"October 8, 2024",22.7,78.33,24.81,84.25,3.74,7.26,32.26,False,Non-Ideal Conditions
"October 9, 2024",20.17,76.49,21.28,85.32,8.15,7.31,32.31,False,Non-Ideal Conditions
"October 10, 2024",19.9,79.88,21.24,89.29,2.99,7.36,32.36,False,Non-Ideal Conditions
"October 11, 2024",30.89,87.79,22.16,82.53,6.41,7.43,32.43,False,Non-Ideal Conditions
"October 12, 2024",19.61,81.95,23.77,94.51,8.58,7.49,32.49,False,Non-Ideal Conditions
"October 13, 2024",22.5,88.2,23.27,98.8,5.33,7.57,32.57,False,Non-Ideal Conditions
"October 14, 2024",30.06,81.11,22.56,97.24,3.28,7.62,32.62,False,Non-Ideal Conditions
"October 15, 2024",18.69,79.72,23.36,96.55,6.01,7.67,32.67,False,Non-Ideal Conditions
"October 16, 2024",27.2,85.24,24.4,93.35,2.6,7.71,32.71,False,Non-Ideal Conditions
"October 17, 2024",28.71,66.04,23.41,99.42,5.63,7.76,32.76,False,Non-Ideal Conditions
"October 18, 2024",22.43,81.13,23.27,88.57,3.99,7.81,32.81,False,Non-Ideal Conditions
"October 19, 2024",19.64,68.08,23.12,80.88,4.14,7.87,32.87,False,Non-Ideal Conditions
"October 20, 2024",21.73,67.28,24.66,92.59,8.34,7.95,32.95,False,Non-Ideal Conditions
"October 21, 2024",18.56,88.27,21.16,81.41,3.27,8.01,33.01,False,Non-Ideal Conditions
"October 22, 2024",28.01,70.21,21.64,84.19,9.11,8.04,33.04,False,Non-Ideal Conditions
"October 23, 2024",25.28,71.49,23.33,88.24,3.98,8.09,33.09,False,Non-Ideal Conditions
"October 24, 2024",24.88,65.49,24.89,89.81,8.7,8.16,33.16,False,Non-Ideal Conditions
"October 25, 2024",21.54,87.93,24.48,85.93,4.17,8.2,33.2,False,Non-Ideal Conditions
"October 26, 2024",24.93,75.66,24.13,89.68,4.85,8.27,33.27,False,Non-Ideal Conditions
"October 27, 2024",18.45,77.99,23.87,93.24,0.85,8.34,33.34,False,Non-Ideal Conditions
"October 28, 2024",24.84,68.52,20.7,95.84,1.6,8.39,33.39,False,Non-Ideal Conditions
"October 29, 2024",25.6,69.55,24.8,85.85,5.51,8.45,33.45,False,Non-Ideal Conditions
"October 30, 2024",23.73,78.54,24.92,97.54,2.33,8.48,33.48,False,Non-Ideal Conditions
"October 31, 2024",26.61,85.59,23.78,83.06,6.48,8.57,33.57,False,Non-Ideal Conditions
"November 1, 2024",29.98,66.15,20.02,80.19,5.41,8.6,33.6,False,Non-Ideal Conditions
"November 2, 2024",18.6,88.89,24.13,95.1,4.16,8.66,33.66,False,Non-Ideal Conditions
"November 3, 2024",27.62,66.81,20.81,92.54,1.43,8.73,33.73,False,Non-Ideal Conditions
"November 4, 2024",23.11,68.33,24.01,99.59,0.07,8.8,33.8,False,Non-Ideal Conditions
"November 5, 2024",21.99,69.64,23.33,93.78,3.97,8.85,33.85,False,Non-Ideal Conditions
"November 6, 2024",21.14,73.05,21.83,98.59,6.64,8.94,33.94,False,Non-Ideal Conditions
"November 7, 2024",25.37,66.35,20.83,99.05,8.81,9.03,34.03,False,Non-Ideal Conditions
"November 8, 2024",22.96,75.08,22.98,97.11,7.3,9.07,34.07,False,Non-Ideal Conditions
"November 9, 2024",25.99,78.71,21.43,91.58,2.65,9.1,34.1,False,Non-Ideal Conditions
"November 10, 2024",21.74,68.0,22.53,89.63,9.71,9.19,34.19,False,Non-Ideal Conditions
"November 11, 2024",24.84,79.23,20.48,83.24,2.45,9.25,34.25,False,Non-Ideal Conditions
"November 12, 2024",24.09,81.93,24.73,94.97,0.73,9.32,34.32,False,Non-Ideal Conditions
"November 13, 2024",30.95,80.52,20.5,98.06,6.55,9.39,34.39,False,Non-Ideal Conditions
"November 14, 2024",20.15,73.49,21.71,86.65,9.24,9.44,34.44,False,Non-Ideal Conditions
"November 15, 2024",26.42,72.55,22.14,93.26,5.74,9.48,34.48,False,Non-Ideal Conditions
"November 16, 2024",21.2,65.92,21.93,98.78,4.57,9.51,34.51,False,Non-Ideal Conditions
"November 17, 2024",30.95,66.42,24.4,83.35,5.16,9.58,34.58,False,Non-Ideal Conditions
"November 18, 2024",24.65,77.29,23.56,91.49,3.18,9.65,34.65,False,Non-Ideal Conditions
"November 19, 2024",26.54,78.81,22.89,87.9,0.69,9.71,34.71,False,Non-Ideal Conditions
"November 20, 2024",28.41,83.67,21.02,86.56,4.92,9.8,34.8,False,Non-Ideal Conditions
"November 21, 2024",21.5,80.46,24.13,93.82,3.0,9.86,34.86,False,Non-Ideal Conditions
"November 22, 2024",22.78,88.08,24.23,93.07,6.68,9.94,34.94,False,Non-Ideal Conditions
"November 23, 2024",20.14,83.21,20.04,92.91,7.17,10.02,35.02,False,Non-Ideal Conditions
"November 24, 2024",20.17,72.47,24.58,82.58,9.93,10.1,35.1,False,Non-Ideal Conditions
"November 25, 2024",30.61,78.23,20.82,91.49,3.67,10.18,35.18,False,Non-Ideal Conditions
"November 26, 2024",20.85,88.96,20.84,86.27,0.1,10.26,35.26,False,Non-Ideal Conditions
"November 27, 2024",22.32,84.83,24.53,99.52,7.97,10.33,35.33,False,Non-Ideal Conditions
"November 28, 2024",22.47,85.44,22.88,95.23,3.36,10.4,35.4,False,Non-Ideal Conditions
"November 29, 2024",29.53,74.83,20.6,80.91,1.17,10.45,35.45,False,Non-Ideal Conditions
"November 30, 2024",24.3,85.89,23.4,99.44,1.28,10.51,35.51,False,Non-Ideal Conditions
"December 1, 2024",18.77,79.0,23.35,86.95,1.88,10.57,35.57,False,Non-Ideal Conditions
"December 2, 2024",22.71,72.81,22.9,96.21,3.75,10.62,35.62,False,Non-Ideal Conditions
"December 3, 2024",20.65,75.8,24.25,85.83,4.1,10.66,35.66,False,Non-Ideal Conditions
"December 4, 2024",20.05,67.71,23.67,83.32,7.04,10.72,35.72,False,Non-Ideal Conditions
"December 5, 2024",26.65,78.33,23.22,80.14,7.71,10.78,35.78,False,Non-Ideal Conditions
"December 6, 2024",22.61,74.62,24.36,95.19,6.82,10.85,35.85,False,Non-Ideal Conditions
"December 7, 2024",26.23,89.01,24.26,97.67,2.76,10.9,35.9,False,Non-Ideal Conditions
"December 8, 2024",27.12,76.89,23.79,97.63,6.23,10.93,35.93,False,Non-Ideal Conditions
"December 9, 2024",20.49,76.01,24.94,92.08,8.68,10.99,35.99,False,Non-Ideal Conditions
"December 10, 2024",18.46,65.48,20.87,87.19,1.09,11.07,36.07,False,Non-Ideal Conditions
"December 11, 2024",27.42,75.07,20.65,83.38,1.77,11.15,36.15,False,Non-Ideal Conditions
"December 12, 2024",24.73,80.98,23.58,92.37,5.58,11.22,36.22,False,Non-Ideal Conditions
"December 13, 2024",18.67,88.04,24.67,99.27,6.64,11.26,36.26,False,Non-Ideal Conditions
"December 14, 2024",22.28,87.48,24.69,92.59,6.79,11.3,36.3,False,Non-Ideal Conditions
"December 15, 2024",24.66,74.21,23.96,89.96,4.53,11.36,36.36,False,Non-Ideal Conditions
"December 16, 2024",22.01,78.99,21.01,87.64,8.68,11.42,36.42,False,Non-Ideal Conditions
"December 17, 2024",20.35,79.38,20.67,95.91,2.94,11.46,36.46,False,Non-Ideal Conditions
"December 18, 2024",27.7,79.41,21.51,98.29,7.33,11.5,36.5,False,Non-Ideal Conditions
"December 19, 2024",26.51,76.41,22.68,90.54,8.09,11.57,36.57,False,Non-Ideal Conditions
"December 20, 2024",28.73,85.35,23.2,85.57,3.66,11.6,36.6,False,Non-Ideal Conditions
"December 21, 2024",21.5,68.5,24.48,85.99,0.4,11.63,36.63,False,Non-Ideal Conditions
"December 22, 2024",30.03,79.57,22.28,95.02,1.25,11.68,36.68,False,Non-Ideal Conditions
"December 23, 2024",27.25,84.28,23.49,88.48,0.49,11.71,36.71,False,Non-Ideal Conditions
"December 24, 2024",20.09,72.75,21.98,85.7,0.48,11.79,36.79,False,Non-Ideal Conditions
"December 25, 2024",30.49,72.92,24.68,89.36,4.41,11.85,36.85,False,Non-Ideal Conditions
"December 26, 2024",26.46,68.63,22.34,87.34,1.81,11.88,36.88,False,Non-Ideal Conditions
"December 27, 2024",29.46,75.87,24.3,91.45,1.61,11.94,36.94,False,Non-Ideal Conditions
"December 28, 2024",30.29,66.83,24.87,81.44,0.67,12.02,37.02,False,Non-Ideal Conditions
"December 29, 2024",19.84,71.19,21.71,93.43,9.11,12.06,37.06,False,Non-Ideal Conditions
"December 30, 2024",30.08,71.71,24.8,86.73,9.67,12.14,37.14,False,Non-Ideal Conditions
"December 31, 2024",22.18,75.89,20.13,94.05,8.68,5.0,37.23,True,Non-Ideal Conditions
